,file,race
0,C:/Users/DELL/Desktop/FairFace/train/3.jpg,1
1,C:/Users/DELL/Desktop/FairFace/train/6.jpg,0
2,C:/Users/DELL/Desktop/FairFace/train/9.jpg,0
3,C:/Users/DELL/Desktop/FairFace/train/16.jpg,0
4,C:/Users/DELL/Desktop/FairFace/train/19.jpg,1
5,C:/Users/DELL/Desktop/FairFace/train/23.jpg,1
6,C:/Users/DELL/Desktop/FairFace/train/24.jpg,0
7,C:/Users/DELL/Desktop/FairFace/train/25.jpg,0
8,C:/Users/DELL/Desktop/FairFace/train/26.jpg,1
9,C:/Users/DELL/Desktop/FairFace/train/27.jpg,0
10,C:/Users/DELL/Desktop/FairFace/train/28.jpg,0
11,C:/Users/DELL/Desktop/FairFace/train/30.jpg,1
12,C:/Users/DELL/Desktop/FairFace/train/31.jpg,1
13,C:/Users/DELL/Desktop/FairFace/train/33.jpg,0
14,C:/Users/DELL/Desktop/FairFace/train/41.jpg,0
15,C:/Users/DELL/Desktop/FairFace/train/42.jpg,1
16,C:/Users/DELL/Desktop/FairFace/train/50.jpg,1
17,C:/Users/DELL/Desktop/FairFace/train/56.jpg,0
18,C:/Users/DELL/Desktop/FairFace/train/57.jpg,1
19,C:/Users/DELL/Desktop/FairFace/train/68.jpg,0
20,C:/Users/DELL/Desktop/FairFace/train/77.jpg,1
21,C:/Users/DELL/Desktop/FairFace/train/80.jpg,0
22,C:/Users/DELL/Desktop/FairFace/train/81.jpg,1
23,C:/Users/DELL/Desktop/FairFace/train/83.jpg,0
24,C:/Users/DELL/Desktop/FairFace/train/84.jpg,1
25,C:/Users/DELL/Desktop/FairFace/train/85.jpg,0
26,C:/Users/DELL/Desktop/FairFace/train/86.jpg,1
27,C:/Users/DELL/Desktop/FairFace/train/87.jpg,1
28,C:/Users/DELL/Desktop/FairFace/train/93.jpg,0
29,C:/Users/DELL/Desktop/FairFace/train/95.jpg,1
30,C:/Users/DELL/Desktop/FairFace/train/96.jpg,0
31,C:/Users/DELL/Desktop/FairFace/train/97.jpg,0
32,C:/Users/DELL/Desktop/FairFace/train/99.jpg,0
33,C:/Users/DELL/Desktop/FairFace/train/102.jpg,0
34,C:/Users/DELL/Desktop/FairFace/train/106.jpg,1
35,C:/Users/DELL/Desktop/FairFace/train/107.jpg,0
36,C:/Users/DELL/Desktop/FairFace/train/110.jpg,0
37,C:/Users/DELL/Desktop/FairFace/train/114.jpg,0
38,C:/Users/DELL/Desktop/FairFace/train/115.jpg,1
